Sl.no,Vehicle Number,Country,Latt/lang,Coordinates,Latitude,Longitude,Population_Density,GDP_PPP
1,DR4565,TOGO,"(6.150916,1.166555)","6.150916,1.166555",6.150916,1.166555,193,1327984.1
2,DR1718,TOGO,"(6.163551,1.156542)","6.163551,1.156542",6.163551,1.156542,193,512840.28
3,DO7016,TOGO,"(6.163138,1.15666)","6.163138,1.15666",6.163138,1.15666,193,512840.28
4,DR5419,TOGO,"(6.155077,1.159183)","6.155077,1.159183",6.155077,1.159183,193,1327984.1
5,DO6972,TOGO,"(6.154688,1.161805)","6.154688,1.161805",6.154688,1.161805,193,1327984.1
6,DN3265,TOGO,"(6.152704,1.161169)","6.152704,1.161169",6.152704,1.161169,193,1327984.1
7,DR5064,TOGO,"(6.144164,1.122943)","6.144164,1.122943",6.144164,1.122943,193,685588.4
8,DR9249,TOGO,"(6.161927,1.105068)","6.161927,1.105068",6.161927,1.105068,193,1186810.8
9,DK9249,TOGO ,"(6.174103,1.098332)","6.174103,1.098332",6.174103,1.098332,161,276601.7
10,DO6974,TOGO,"(6.17363,1.098345)","6.17363,1.098345",6.17363,1.098345,161,276601.7
11,DR9157,TOGO,"(6.147175,1.122872)","6.147175,1.122872",6.147175,1.122872,193,685588.4
12,DN5969,TOGO,"(6.176179,1.1013)","6.176179,1.1013",6.176179,1.1013,193,181740.5
13,DS1659,TOGO,"(6.174038,1.107)","6.174038,1.107",6.174038,1.107,193,276601.7
14,DR1799,TOGO,"(6.164237,1.109303)","6.164237,1.109303",6.164237,1.109303,193,826758.94
15,DR9223,TOGO,"(6.16846,1.104825)","6.16846,1.104825",6.16846,1.104825,193,276601.7
16,DO7440,TOGO,"(6.173224,1.108132)","6.173224,1.108132",6.173224,1.108132,193,276601.7
17,DP0145,TOGO ,"(6.174499,1.107583)","6.174499,1.107583",6.174499,1.107583,193,276601.7
18,DN0648,TOGO,"(6.172227,1.108667)","6.172227,1.108667",6.172227,1.108667,193,127428.36
19,DL4997,TOGO,"(6.170989,1.104111)","6.170989,1.104111",6.170989,1.104111,193,276601.7
20,DL5082,TOGO,"(6.259214,1.031297)","6.259214,1.031297",6.259214,1.031297,140,1600615.8
21,DL4273,TOGO ,"(6.265865,1.026368)","6.265865,1.026368",6.265865,1.026368,140,1600615.8
22,DN0749,TOGO,"(6.664171,1.598221)","6.664171,1.598221",6.664171,1.598221,136,
23,DM3396,TOGO,"(6.139732,1.176487)","6.139732,1.176487",6.139732,1.176487,193,1323512.5
24,DO6969,TOGO,"(6.144182,1.17649)","6.144182,1.17649",6.144182,1.17649,193,762796.5
25,DS0303,TOGO,"(6.141067,1.179543)","6.141067,1.179543",6.141067,1.179543,193,1323512.5
26,DL1825,TOGO ,"(6.14747,1.176573)","6.14747,1.176573",6.14747,1.176573,193,762796.5
27,DR7343,TOGO,"(6.172981,1.114347)","6.172981,1.114347",6.172981,1.114347,193,127428.36
28,DR6668,TOGO,"(6.168272,1.123651)","6.168272,1.123651",6.168272,1.123651,193,813498.8
29,DO9276,TOGO,"(6.174733,1.126112)","6.174733,1.126112",6.174733,1.126112,193,1137040.2
30,DR7380,TOGO,"(6.172797,1.12272)","6.172797,1.12272",6.172797,1.12272,193,813498.8
31,DL5809,TOGO ,"(6.177536,1.122198)","6.177536,1.122198",6.177536,1.122198,193,1955612.0
32,DS1640,TOGO,"(6.171332,1.117292)","6.171332,1.117292",6.171332,1.117292,193,813498.8
33,DN0764,TOGO,"(6.169902,1.125283)","6.169902,1.125283",6.169902,1.125283,193,1137040.2
34,DP3537,TOGO,"(7.035547,1.648152)","7.035547,1.648152",7.035547,1.648152,126,66592.125
35,DM3208,TOGO,"(6.898702,0.566157)","6.898702,0.566157",6.898702,0.566157,128,300343.78
36,DP5957,TOGO,"(6.153183,1.147687)","6.153183,1.147687",6.153183,1.147687,193,278041.22
37,DM0292,TOGO ,"(6.161845,1.15105)","6.161845,1.15105",6.161845,1.15105,193,512840.28
